,player_id,player_display_name,rolling_def,last_twelve_completions,last_twelve_attempts,last_twelve_passing_yards,last_twelve_passing_tds,last_twelve_interceptions,last_twelve_sack_fumbles_lost,last_twelve_passing_first_downs,last_twelve_carries,last_twelve_rushing_yards,last_twelve_rushing_tds,last_twelve_rushing_fumbles_lost,last_twelve_rushing_first_downs,last_twelve_fantasy_points_ppr,last_twelve_comp_percentage,predicted,season,week
0,00-0023459,Aaron Rodgers,13.324166774749756,18.25,29.0,194.41666666666663,1.4166666666666667,0.6666666666666666,0.0833333333333333,9.25,1.9166666666666667,6.25,0.0833333333333333,0.0833333333333333,0.5833333333333334,13.235000054041544,0.5860790258538775,13.900500322985724,2024,1
1,00-0026158,Joe Flacco,9.835833251476288,21.416666666666668,36.16666666666666,255.08333333333331,1.9166666666666667,1.0,0.5,10.75,1.25,1.0833333333333333,0.0,0.0,0.4166666666666667,15.144999941190084,0.603342122139609,14.905371884839676,2024,1
2,00-0026498,Matthew Stafford,12.80750007306536,20.83333333333333,32.916666666666664,254.58333333333331,1.8333333333333333,0.5833333333333334,0.0,11.75,1.0833333333333333,2.5,0.0,0.0,0.0833333333333333,16.933333158493042,0.631009066777089,15.741909368072175,2024,1
3,00-0027973,Andy Dalton,18.43083341916402,18.166666666666668,27.25,206.33333333333331,1.3333333333333333,0.6666666666666666,0.0,9.666666666666666,2.0,4.75,0.0,0.0,0.5,12.728333570683995,0.6741990445591735,13.905219461432603,2024,1
4,00-0028118,Tyrod Taylor,15.6233332157135,8.666666666666666,14.083333333333334,95.58333333333331,0.4166666666666667,0.3333333333333333,0.0833333333333333,3.75,3.1666666666666665,20.33333333333333,0.0,0.0,1.1666666666666667,6.856666659315427,0.576897516381852,10.290521618353573,2024,1
5,00-0029263,Russell Wilson,13.947222272555033,19.08333333333333,28.58333333333333,189.91666666666663,1.6666666666666667,0.5,0.25,8.583333333333334,6.083333333333333,23.666666666666668,0.25,0.0833333333333333,2.6666666666666665,16.796666582425434,0.662390896600874,16.571412366094265,2024,1
6,00-0029604,Kirk Cousins,13.286388754844666,27.75,40.41666666666666,310.0,2.333333333333333,0.8333333333333334,0.3333333333333333,14.916666666666666,1.6666666666666667,5.333333333333333,0.0,0.0833333333333333,0.75,19.93333351612091,0.6845819983521643,17.990370177238994,2024,1
7,00-0030565,Geno Smith,13.84833323955536,21.58333333333333,33.666666666666664,249.58333333333331,1.25,0.75,0.1666666666666666,11.333333333333334,2.5,8.416666666666666,0.0833333333333333,0.0833333333333333,0.6666666666666666,14.558333218097689,0.6424185433011252,14.918133033556591,2024,1
8,00-0031280,Derek Carr,19.147499640782677,22.75,33.0,237.58333333333331,1.5833333333333333,0.5,0.0833333333333333,11.25,1.9166666666666667,2.75,0.0,0.0833333333333333,0.25,15.111666480700174,0.7030475183093863,15.246807611942591,2024,1
9,00-0031345,Jimmy Garoppolo,15.52750015258789,18.58333333333333,27.33333333333333,207.41666666666663,1.3333333333333333,0.8333333333333334,0.0833333333333333,10.166666666666666,2.75,4.5,0.0833333333333333,0.0,1.0,12.913333356380464,0.6650914652944686,14.243385165373441,2024,1
10,00-0031503,Jameis Winston,9.75249993801117,11.5,19.75,139.91666666666666,1.0,0.75,0.0833333333333333,5.75,2.333333333333333,9.666666666666666,0.0,0.0,0.9166666666666666,9.063333234439291,0.5099083828653412,11.443352218081007,2024,1
11,00-0031800,Taylor Heinicke,12.304166714350382,16.0,27.58333333333333,189.08333333333331,1.1666666666666667,0.6666666666666666,0.4166666666666667,9.166666666666666,2.9166666666666665,15.583333333333334,0.0833333333333333,0.0,0.75,12.12166670958201,0.5793607384184288,13.620831365762818,2024,1
12,00-0032268,Marcus Mariota,11.263333410024645,12.416666666666666,20.33333333333333,152.0,1.0833333333333333,0.5833333333333334,0.0,7.75,5.75,29.666666666666668,0.25,0.0833333333333333,2.25,13.713333288828531,0.6208390506645656,14.747653499158814,2024,1
13,00-0032950,Carson Wentz,11.695833365122477,18.916666666666668,30.416666666666668,195.25,1.3333333333333333,0.8333333333333334,0.0833333333333333,9.416666666666666,3.1666666666666665,10.416666666666666,0.0833333333333333,0.0,1.0,13.18500006198883,0.6159592437999156,14.226595042685956,2024,1
14,00-0033077,Dak Prescott,16.762500127156574,23.5,34.833333333333336,277.4166666666667,2.333333333333333,0.5833333333333334,0.0833333333333333,12.666666666666666,3.6666666666666665,16.583333333333332,0.1666666666666666,0.0833333333333333,1.4166666666666667,21.921666860580444,0.6738905840601151,18.98751691268306,2024,1
15,00-0033106,Jared Goff,14.478333195050558,24.416666666666668,36.833333333333336,268.8333333333333,1.8333333333333333,0.75,0.1666666666666666,13.666666666666666,1.6666666666666667,0.75,0.0833333333333333,0.1666666666666666,0.1666666666666666,16.828333497047424,0.6633988354354614,16.325762609980483,2024,1
16,00-0033119,Jacoby Brissett,9.04916661977768,14.333333333333334,22.08333333333333,166.83333333333334,0.9166666666666666,0.3333333333333333,0.25,8.0,2.833333333333333,15.166666666666666,0.0833333333333333,0.0833333333333333,1.4166666666666667,11.023333312322697,0.6174206461724396,12.721296267499781,2024,1
17,00-0033319,Nick Mullens,14.606666843096416,16.333333333333332,25.08333333333333,184.33333333333331,1.0833333333333333,1.0,0.1666666666666666,9.166666666666666,0.75,2.0,0.0,0.0,0.1666666666666666,9.740000079696378,0.7128690753690754,12.058854704555957,2024,1
18,00-0033357,Taysom Hill,19.147499640782677,0.4166666666666667,0.8333333333333334,6.25,0.0833333333333333,0.0,0.0,0.3333333333333333,4.916666666666667,21.58333333333333,0.3333333333333333,0.0833333333333333,1.5,9.949999964485563,0.5714285714285714,11.180304242829454,2024,1
19,00-0033537,Deshaun Watson,9.924999992052712,17.75,29.25,196.0,1.25,0.6666666666666666,0.0833333333333333,9.166666666666666,4.916666666666667,23.75,0.1666666666666666,0.0833333333333333,1.5833333333333333,15.04833326737086,0.5708877980511495,15.328317323350714,2024,1
20,00-0033869,Mitchell Trubisky,11.015833308299383,15.333333333333334,23.916666666666668,157.0,0.6666666666666666,0.8333333333333334,0.0,8.416666666666666,2.9166666666666665,7.666666666666667,0.3333333333333333,0.0833333333333333,1.0833333333333333,10.213333348433176,0.6446129451168824,12.437657880608786,2024,1
21,00-0033873,Patrick Mahomes,16.234166622161865,25.75,37.833333333333336,264.75,1.5833333333333333,0.8333333333333334,0.25,13.416666666666666,4.333333333333333,19.58333333333333,0.0,0.0,1.25,16.7150000333786,0.6836473440382854,16.983162353686907,2024,1
22,00-0033949,Joshua Dobbs,11.839166581630709,20.08333333333333,32.25,194.33333333333331,1.0833333333333333,0.8333333333333334,0.3333333333333333,9.75,6.166666666666667,35.333333333333336,0.5,0.0833333333333333,2.583333333333333,16.639999945958454,0.6243890192177414,16.384660638505025,2024,1
23,00-0034796,Lamar Jackson,13.340000172456106,19.08333333333333,29.33333333333333,240.33333333333331,1.6666666666666667,0.5,0.1666666666666666,11.0,8.916666666666666,50.083333333333336,0.0833333333333333,0.0833333333333333,2.583333333333333,20.455000003178917,0.6608287258124613,19.307325172641104,2024,1
24,00-0034855,Baker Mayfield,13.641666660706202,21.416666666666668,34.083333333333336,252.08333333333331,1.75,0.6666666666666666,0.25,11.666666666666666,2.833333333333333,7.916666666666667,0.0833333333333333,0.0,0.8333333333333334,16.708333333333332,0.6286804045424735,16.173885024866973,2024,1
25,00-0034857,Josh Allen,14.198055545488993,21.166666666666668,33.833333333333336,241.58333333333331,1.5,1.0,0.0,11.083333333333334,6.666666666666667,29.25,1.0833333333333333,0.1666666666666666,3.333333333333333,23.25499979654948,0.6187668667908229,19.559477289812445,2024,1
26,00-0034869,Sam Darnold,19.61500024795532,5.333333333333333,8.5,77.0,0.5,0.1666666666666666,0.0833333333333333,3.4166666666666665,2.25,3.083333333333333,0.0833333333333333,0.0833333333333333,0.3333333333333333,5.221666558335225,0.6643186705298506,9.475359094988686,2024,1
27,00-0035228,Kyler Murray,19.04333317279816,20.75,31.33333333333333,203.5,1.4166666666666667,0.6666666666666666,0.0,10.083333333333334,5.666666666666667,33.0,0.3333333333333333,0.0833333333333333,1.9166666666666667,17.93999999264876,0.688292273443892,17.148458954870293,2024,1
28,00-0035289,Gardner Minshew,11.316666702429451,20.5,33.083333333333336,230.5,1.0833333333333333,0.75,0.4166666666666667,10.25,2.583333333333333,7.333333333333333,0.25,0.0,0.5833333333333334,13.62000020345052,0.6335182367525952,14.215089927215146,2024,1
29,00-0035704,Drew Lock,19.03499984741211,14.333333333333334,23.58333333333333,158.58333333333334,0.6666666666666666,0.5833333333333334,0.0833333333333333,7.0,1.9166666666666667,7.583333333333333,0.0833333333333333,0.0833333333333333,0.6666666666666666,9.026666656136513,0.5694233727330676,11.590304177042468,2024,1
30,00-0035710,Daniel Jones,11.511666556199392,20.166666666666668,29.25,181.41666666666663,0.6666666666666666,0.5833333333333334,0.0833333333333333,8.666666666666666,7.0,39.75,0.3333333333333333,0.0833333333333333,3.0,14.56500012675921,0.6749833117035441,15.411294716675876,2024,1
31,00-0036212,Tua Tagovailoa,10.868333200613655,22.83333333333333,33.083333333333336,262.0833333333333,1.5833333333333333,0.75,0.0,12.333333333333334,1.9166666666666667,4.333333333333333,0.0,0.25,0.1666666666666666,15.25000019868215,0.6984442371375296,15.312920886980358,2024,1
32,00-0036264,Jordan Love,12.582777698834738,22.58333333333333,34.583333333333336,245.16666666666663,1.8333333333333333,0.6666666666666666,0.0833333333333333,12.75,2.583333333333333,14.666666666666666,0.1666666666666666,0.0833333333333333,0.9166666666666666,17.93999993801117,0.6555270603780635,16.792694870533893,2024,1
33,00-0036355,Justin Herbert,13.536666830380758,22.83333333333333,35.25,242.08333333333331,1.5833333333333333,0.5833333333333334,0.0833333333333333,11.666666666666666,3.9166666666666665,17.583333333333332,0.1666666666666666,0.0,1.0,17.775000005960464,0.6301910231782557,16.81297386285186,2024,1
34,00-0036389,Jalen Hurts,15.289999922116598,21.416666666666668,32.666666666666664,237.0,1.5,0.9166666666666666,0.0833333333333333,12.166666666666666,9.583333333333334,38.91666666666666,1.0,0.25,4.166666666666667,22.87166666984558,0.6623640628623282,20.601707755682575,2024,1
35,00-0036442,Joe Burrow,9.942499915758768,25.916666666666668,38.0,240.33333333333331,1.8333333333333333,0.75,0.0833333333333333,12.25,3.1666666666666665,8.416666666666666,0.0,0.0,1.0,16.288333157698315,0.6782411767613395,16.201972997107028,2024,1
36,00-0036898,Davis Mills,12.901666531960169,11.583333333333334,20.33333333333333,124.25,0.6666666666666666,0.5833333333333334,0.0833333333333333,6.0,2.0,8.416666666666666,0.1666666666666666,0.0833333333333333,0.6666666666666666,8.14500013863047,0.6226417163917164,10.932892723165867,2024,1
37,00-0036945,Justin Fields,13.476666629314424,18.0,29.5,201.16666666666663,1.3333333333333333,0.75,0.25,9.416666666666666,9.666666666666666,52.5,0.3333333333333333,0.0833333333333333,3.25,18.46333312988281,0.6061924334038277,18.29580212187135,2024,1
38,00-0036971,Trevor Lawrence,18.139721910158794,22.33333333333333,34.0,250.0,1.3333333333333333,0.8333333333333334,0.4166666666666667,10.916666666666666,4.333333333333333,22.5,0.3333333333333333,0.0833333333333333,1.5833333333333333,17.083333214124043,0.6646964309094474,16.50587473209626,2024,1
39,00-0036972,Mac Jones,11.894166597475609,20.33333333333333,31.5,193.66666666666663,1.0,1.0,0.0833333333333333,9.083333333333334,2.4166666666666665,8.083333333333334,0.0,0.0833333333333333,1.0,10.221666624148687,0.6424241733149779,12.635583285894855,2024,1
40,00-0037013,Zach Wilson,12.775000115235647,18.416666666666668,30.666666666666668,189.25,0.6666666666666666,0.5833333333333334,0.3333333333333333,8.666666666666666,3.0,17.583333333333332,0.0,0.25,0.5833333333333334,9.995000009735426,0.579277072134215,12.479379720692153,2024,1
41,00-0037077,Sam Howell,11.431666801373163,22.916666666666668,37.083333333333336,236.0,1.3333333333333333,1.1666666666666667,0.0,10.833333333333334,2.75,15.166666666666666,0.3333333333333333,0.0833333333333333,1.1666666666666667,16.123333315054577,0.5884557861859653,15.460256075104708,2024,1
42,00-0037834,Brock Purdy,19.61500024795532,18.916666666666668,27.666666666666668,271.75,2.1666666666666665,0.9166666666666666,0.0833333333333333,11.5,2.25,10.0,0.0,0.0,0.8333333333333334,18.53666651248932,0.6857371767519617,17.020968767654352,2024,1
43,00-0038102,Kenny Pickett,15.197499791781109,16.75,27.0,172.5,0.5,0.3333333333333333,0.0,7.583333333333333,3.5,4.5,0.0833333333333333,0.0,1.0,9.183333277702332,0.6225026272037141,12.080521667833011,2024,1
44,00-0038122,Desmond Ridder,12.304166714350382,16.083333333333332,25.666666666666668,182.75,0.6666666666666666,0.8333333333333334,0.3333333333333333,9.333333333333334,3.333333333333333,12.916666666666666,0.3333333333333333,0.0,1.25,11.268333206574122,0.6395718032655865,13.180357257179658,2024,1
45,00-0039150,Bryce Young,16.120833456516266,19.75,33.833333333333336,190.0,0.75,0.6666666666666666,0.25,8.583333333333334,2.5,14.0,0.0,0.0,1.1666666666666667,10.333333472410835,0.5877252613421523,12.5596970240952,2024,1
46,00-0039163,C.J. Stroud,12.971666932106018,20.08333333333333,31.83333333333333,268.1666666666667,1.5833333333333333,0.4166666666666667,0.0833333333333333,12.25,2.4166666666666665,9.666666666666666,0.25,0.0833333333333333,1.1666666666666667,18.52666670084,0.621077764737185,16.715586281572065,2024,1
